이름,몸무게,키
사아,78,187
바마,65,193
마다,43,199
아마,40,187
자카,101,148
나차,90,194
자다,93,195
자가,67,145
나마,103,164
마라,119,152
자아,116,197
마파,77,188
자타,96,156
나차,74,142
차사,50,159
타타,68,145
사하,62,159
나아,65,151
바아,42,147
하카,77,164
자마,63,152
다바,116,185
자자,43,155
카파,64,145
아자,87,141
마가,56,162
아라,81,163
파자,88,150
다다,66,191
차카,47,146
라차,108,159
마다,96,155
다타,110,159
마나,64,142
나아,100,198
나나,52,170
하가,42,167
자사,70,158
파카,57,197
카다,88,192
가가,79,193
파타,116,179
나차,63,150
나자,114,191
라라,107,173
나자,105,163
하다,59,198
다나,53,143
가아,76,172
나자,93,189
다나,54,146
라하,83,183
타나,46,169
아카,40,169
차라,113,152
자나,89,152
나차,89,156
가하,103,196
사나,75,155
차아,62,142
나타,45,163
가다,110,150
타차,42,151
다사,77,177
하파,59,199
다타,48,177
차나,58,159
라나,89,192
자가,56,181
마자,68,180
파파,64,143
자타,80,157
나차,96,145
라카,82,156
가사,94,157
다나,58,172
파마,45,198
아자,52,145
하바,94,185
마아,84,182
사마,68,144
가바,96,172
바타,117,199
가아,88,164
차아,89,183
파아,53,186
가나,101,173
하사,98,191
사라,114,159
가사,64,156
마차,65,154
차나,73,167
바마,82,186
나사,67,159
사바,60,177
마바,59,166
타라,64,154
하차,68,182
자아,42,146
마자,111,190
카카,114,145
자라,64,182
마차,97,166
차파,67,164
파하,47,156
아카,114,174
아바,42,175
나자,113,188
파타,91,159
아바,116,154
라아,84,198
타마,118,184
파라,101,199
아사,89,173
가하,70,160
하다,65,145
라바,102,172
나아,81,178
자차,50,189
가아,118,163
바가,80,151
하가,85,173
다자,90,183
가마,91,157
라차,97,171
다차,66,195
마가,114,150
아다,88,187
다차,91,152
라라,111,176
라다,43,187
다다,68,192
타자,113,164
카카,64,181
파타,111,195
아자,51,182
바마,72,185
다아,106,181
하바,114,146
차사,71,157
파가,89,151
라가,72,197
카라,115,149
가파,102,162
하사,116,148
하라,45,182
파가,86,143
하차,90,165
나자,65,172
타카,91,164
마다,64,143
마사,112,178
자자,77,186
아나,61,186
파나,49,143
라사,46,199
마자,95,177
자아,74,148
하카,95,144
자나,100,145
마다,112,181
다하,46,183
아아,76,181
라마,61,154
나마,94,168
라마,54,169
자자,113,147
파사,40,165
자카,69,159
다바,107,189
아하,97,164
아마,102,141
자아,108,199
나아,81,177
아자,81,178
라파,69,175
타타,54,166
파다,86,146
사차,96,147
차카,65,141
카하,107,150
사가,105,190
하타,60,169
마바,65,176
차파,116,182
파가,110,176
하다,79,187
파사,82,192
다아,64,191
나타,91,141
라하,111,147
타차,93,150
라타,74,160
타사,90,192
가자,43,195
다차,62,156
카파,108,145
카가,115,176
카타,96,169
다타,63,144
자나,100,193
마자,70,168
파카,70,149
아다,104,158
가나,102,149
사아,49,198
자나,87,143
라카,79,185
아타,42,179
가마,80,156
카가,40,194
가카,119,197
바차,100,142
사카,43,164
가차,71,182
파카,74,165
차타,82,143
자사,62,173
타가,55,179
자라,71,169
파하,104,150
차나,80,176
마나,64,144
자사,42,151
파하,93,174
자아,78,155
다아,45,143
마바,62,150
하가,51,191
라차,44,194
자다,115,184
나바,44,161
카다,87,155
나나,46,162
가가,85,183
파사,43,166
바하,59,190
마자,86,190
다자,103,199
가차,119,169
하차,57,194
마아,46,185
파타,52,166
가라,61,141
가나,118,143
타차,85,161
차자,72,164
라아,83,144
차마,99,141
하사,81,143
사자,61,189
자타,45,183
자아,109,144
카파,41,148
하바,85,179
카하,88,185
나가,69,151
아자,55,178
자아,101,170
타차,56,193
하파,46,153
나사,89,177
가가,83,195
마가,53,198
마아,79,186
라다,47,167
자자,108,148
마사,54,160
파카,102,180
라가,62,197
하다,107,194
라바,108,146
타나,102,199
마자,48,193
파파,74,188
라다,69,146
타라,114,188
나하,118,164
자차,75,177
차가,48,197
카하,117,183
카마,100,147
하파,82,186
파다,111,169
마라,108,173
파파,98,175
마파,63,140
마차,78,143
차가,118,141
차자,118,176
차아,86,161
자아,66,143
바카,62,147
바라,66,155
파다,48,188
사자,119,158
차사,48,156
바라,79,150
바타,43,141
마타,94,192
라나,74,156
다차,82,150
타타,104,150
하마,57,146
다가,58,183
카마,55,190
다차,115,179
라라,113,186
아나,70,165
사사,48,156
하가,46,199
사하,108,150
차차,92,155
파아,65,162
마카,66,140
나가,49,187
차차,71,154
하타,83,144
자라,102,176
타마,65,171
마나,61,189
나타,110,179
자타,105,196
바자,63,173
가아,44,193
차사,71,152
바라,111,164
가라,89,195
아마,118,146
아차,105,165
가자,112,182
타나,106,196
라나,60,197
카가,92,164
타다,100,149
마카,77,174
나자,91,194
마다,89,151
아카,110,190
가사,110,189
나카,61,144
카사,43,162
나자,60,197
다마,47,164
마바,75,186
가사,52,190
타다,47,178
다하,95,146
아사,81,197
타자,66,171
나차,88,159
자아,119,179
바카,55,145
타가,44,198
자가,50,171
나가,67,141
타차,105,193
나타,91,172
타하,73,186
나파,45,154
하라,60,141
자라,116,162
나자,108,187
파자,115,176
가하,109,183
아나,63,161
아바,74,145
다타,54,165
가차,61,182
하타,100,176
아나,49,142
라바,45,163
나파,88,184
차카,74,153
바바,85,140
차라,118,188
파카,79,150
마파,103,172
하마,72,167
카라,104,148
나라,90,167
다아,76,162
차아,53,181
파파,112,171
사가,41,176
아아,52,155
차타,118,191
카카,64,156
자가,90,142
다사,102,167
차마,46,192
마파,67,182
가파,55,184
파아,67,151
아사,70,169
바카,58,157
나차,47,199
라마,99,167
마아,76,178
라자,71,186
차카,76,157
타하,75,145
가차,64,199
마사,51,156
사파,69,188
타다,94,174
카자,86,162
마다,68,153
사자,66,146
가자,82,169
바나,82,169
타마,102,184
하아,49,164
하타,103,176
카가,84,171
사아,78,144
마파,44,187
마자,100,158
다가,70,187
차아,51,195
라카,97,171
나타,98,144
하다,81,189
파차,61,172
타바,70,190
카다,60,182
자하,119,191
카나,100,198
마차,46,152
다타,69,149
차아,62,181
차다,92,185
카파,110,175
차카,41,193
라다,63,171
나나,62,198
다나,80,145
하타,51,170
다아,48,179
라다,70,146
라다,119,199
다차,62,164
가마,98,143
가라,113,181
바바,117,164
사파,43,163
사라,117,174
자차,115,191
차아,58,157
라아,55,146
다바,63,175
가라,115,191
아나,103,147
하가,91,196
나나,99,141
다파,58,179
사파,67,144
차가,110,158
자사,100,153
가사,68,190
가하,84,186
다라,61,188
하자,48,171
다바,66,181
자자,68,144
마사,84,192
사타,99,158
가카,81,168
다다,107,169
파라,88,186
가다,68,149
나차,77,170
바마,62,199
마나,64,180
파사,97,154
파파,92,158
아차,114,157
아자,118,176
하사,40,199
자나,43,176
파차,61,149
차다,118,169
카가,46,160
사다,83,174
파라,98,146
가사,82,154
다가,59,168
라차,63,189
라하,76,164
아차,67,183
라라,60,157
사바,48,199
다자,50,198
마카,55,175
아가,51,163
아마,54,151
자사,100,145
타사,48,146
카라,111,173
바자,114,198
가가,106,160
나자,74,181
바아,102,192
카아,95,169
타나,101,162
파사,40,193
가바,56,191
마아,109,177
카타,80,141
카파,97,180
라하,83,159
아타,111,175
차자,55,199
하자,79,173
아나,109,160
라차,67,151
하타,60,178
타다,52,150
자마,116,169
타다,73,187
파자,105,157
카다,58,150
마마,57,177
가사,46,173
아마,86,140
바마,116,193
자나,83,149
사카,80,165
하자,42,166
가파,44,152
가라,77,169
라라,91,172
카파,96,152
다카,62,193
사아,101,168
다타,84,179
가자,111,160
아나,106,181
카아,116,168
파차,59,150
다사,49,160
다사,89,172
하하,65,170
다차,112,147
사사,108,166
가파,103,150
자사,94,149
타파,50,146
라타,113,198
바나,49,182
카가,86,185
바사,115,182
나자,51,168
마차,105,164
마아,91,170
가나,89,189
카마,103,177
아아,84,181
파파,108,168
다하,58,197
다사,81,173
가마,77,190
나하,71,156
라차,89,170
파아,111,194
사나,93,198
하파,63,169
타타,110,140
카하,110,149
하가,64,199
파파,81,162
나하,112,194
아아,42,157
카차,84,144
바가,115,149
바차,86,197
마차,118,196
가아,114,171
다파,79,191
차아,66,173
파타,90,193
바파,80,149
하하,65,159
가사,117,147
나하,82,164
다파,88,143
타하,50,192
파타,57,160
파카,40,152
가마,48,178
나나,91,178
자나,100,151
파사,112,189
가타,57,143
하파,45,151
타자,63,163
파나,95,143
바하,64,163
자카,116,157
나마,80,171
하가,77,170
카카,58,198
카사,102,156
가바,69,189
사마,111,175
카자,109,144
타바,60,163
가마,53,157
가하,89,154
나마,62,180
아차,116,140
바카,77,188
다차,66,189
가사,48,163
아타,50,146
차차,88,166
라아,83,162
나사,92,156
카마,84,192
가가,97,171
사하,51,146
나마,42,195
차차,84,185
가아,62,152
차차,99,149
나바,82,181
아파,90,185
카자,42,176
사하,54,171
파자,119,159
바마,115,145
바파,119,168
아타,70,157
하차,112,169
마마,112,141
파가,63,183
나카,83,192
타가,92,188
다마,52,188
다바,78,193
바나,42,199
나마,108,176
가타,47,163
파가,76,168
다나,104,147
차나,40,185
바바,62,174
파사,99,182
나차,92,182
라아,44,158
바아,87,151
사타,107,147
차가,111,173
다바,60,140
나마,58,195
파사,55,142
아파,74,155
나타,117,190
사마,114,196
파하,44,148
가파,62,161
라차,104,198
사바,118,185
다카,80,166
바사,108,140
라다,50,166
차사,69,151
다나,91,145
아하,64,199
차자,105,193
사바,84,140
바나,45,176
나자,74,198
아하,43,184
파타,68,146
타가,119,189
바차,110,183
하다,72,151
카바,64,192
자자,67,193
가바,112,153
다라,56,173
다자,101,158
파카,105,181
나자,105,167
마가,41,161
사타,52,182
사차,64,147
하하,112,170
아자,116,198
나자,113,147
나바,90,195
사다,117,174
아차,65,195
하하,95,171
라자,80,193
다자,56,194
가차,60,146
카파,64,161
차마,46,169
가카,106,159
